Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Categorization;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Arousal;Dominance;Valence
POWDERY;powder;1039;18076;6.946013991;['powder_NN', 'powder_JJ'];Composition;Abstract;-4.120807903;10.39513308;1593.835866;0.690560392;0.961915125;4.76;;0.176470588;1.705882353;3.764705882;0.235294118;1.882352941;4.235294118;Visual;2.77;6.05;5.26
POWDERY;powdered;109;2427;4.691347882;['powdered_JJ', 'powdered_NN'];Composition;Abstract;-4.476774068;13.6479287;143.2156526;0.667845484;0.821273123;3.88;;0.368421053;1.578947368;2.631578947;0.368421053;0.736842105;3.789473684;Visual;3.18;5.23;5.32
POWDERY;powderiness;78;1;4.356708827;['powderiness_NN'];Category;Abstract;6.285402219;14.1307108;665.0002473;0.995103373;0.929815016;;;;;;;;;;;;
POWDERY;powdery;4839;734;8.484463367;['powdery_NN', 'powdery_JJ'];Composition;Abstract;2.720856971;8.175619798;30372.72628;0.940152339;0.998095756;3.55;;0.222222222;1.222222222;3.555555556;0.444444444;0.555555556;3.5;Haptic;;;
PRALINE;praline;153;283;5.030437921;['praline_NN'];Source;Source;-0.8872704;13.15872518;585.634245;0.857861806;0.925326442;;;;;;;;;;;;
PREDOMINANT;predominant;218;2115;5.384495063;['predominant_JJ', 'predominant_NN'];Strong;Evaluative;-3.278257623;12.6479287;458.1315502;0.747007617;0.91281284;2.33;;1.142857143;0.357142857;0.428571429;0.642857143;0.357142857;2.571428571;Visual;;;
PREDOMINANT;predominate;56;184;4.025351691;['predominate_NN', 'predominate_JJ'];Strong;Evaluative;-1.716207034;14.6087581;185.8152009;0.824265506;0.847796518;2.17;;1.625;0.291666667;0.708333333;0.625;0.416666667;2.625;Visual;;;
PRETTY;pretty;762;31972;6.635946556;['pretty_JJ', 'pretty_NN'];Positive;Evaluative;-5.390874186;10.84246583;499.0351403;0.591267682;0.91648531;2.4;419.3;0.8;0.1;0.15;1.1;0.6;5;Visual;5.5;6.7;7.7
PROMINENT;prominant;13;20;2.564949357;['prominant_JJ', 'prominant_NN'];Strong;Evaluative;-0.621488377;16.7156733;59.43767267;0.866022851;0.718443961;;;;;;;;;;;;
PROMINENT;prominence;41;3698;3.713572067;['prominence_NN'];Strong;Evaluative;-6.494977505;15.05856102;-4.673279456;0.488030468;0.483133841;2;;1.071428571;0.214285714;0.5;0.571428571;0;2.642857143;Visual;;;
PROMINENT;prominent;1860;20791;7.528331767;['prominent_JJ', 'prominent_NN'];Strong;Evaluative;-3.482584624;9.555026116;3685.551031;0.735174102;0.980821545;1.87;;1.666666667;0.555555556;0.666666667;1.611111111;0.5;2.722222222;Visual;4.05;5.55;5.21
PRONOUNCED;pronounced;277;2189;5.624017506;['pronounced_JJ'];Strong;Evaluative;-2.982314073;12.30237086;648.9852023;0.763465724;0.929406964;2.3;;3.694444444;0.555555556;0.722222222;0.777777778;0.583333333;1.416666667;Auditory;;;
PUNGENT;pungency;29;114;3.36729583;['pungency_NN'];Abstract;Abstract;-1.974909019;15.55813203;93.75614609;0.811751904;0.776387378;2.74;;0;1;0;0.5;4.1;0.4;Olfactory;;;
PUNGENT;pungent;703;1432;6.555356892;['pungent_JJ', 'pungent_NN'];Abstract;Abstract;-1.026434898;10.95873214;2580.958604;0.853237214;0.973340588;2.9;327.3;0.210526316;2.210526316;0.315789474;0.894736842;4.684210526;0.684210526;Olfactory;4.52;4.37;3.71
PURE;pure;1252;33046;7.132497552;['pure_JJ', 'pure_NN'];Abstract;Abstract;-4.722169186;10.12609417;1404.650757;0.647442873;0.957698585;1.87;353.25;1.470588235;1.941176471;0.941176471;1.352941176;1.176470588;2.529411765;Visual;4.05;6.44;6.8
PURE;purity;35;4746;3.555348061;['purity_NN'];Abstract/Technical;Abstract;-7.083213368;15.28683;-17.04169328;0.423694233;0.407780196;1.73;;1.444444444;0.666666667;0.555555556;2.666666667;0.5;2.944444444;Visual;3;5.78;6.57
RASPBERRY;rasberry;15;32;2.708050201;['rasberry_NN'];Source;Source;-1.093109404;16.50922243;47.26291344;0.850380849;0.690152339;;;;;;;;;;;;
RASPBERRY;raspberry;653;3414;6.481577129;['raspberry_NN', 'raspberry_JJ'];Source;Source;-2.386308161;11.06517384;1794.196733;0.793933624;0.964363439;4.93;675.8;0.210526316;4.684210526;3.105263158;0.736842105;2.894736842;4.157894737;Gustatory;3.71;6.33;7.3
REALISTIC;realistic;631;15585;6.447305863;['realistic_JJ', 'realistic_NN'];Abstract;Abstract;-4.62637434;11.11461683;746.3312056;0.656420022;0.935255713;2.07;;1.75;0.45;1.2;1.35;0.15;2.4;Visual;4.09;6.77;5.89
REFINED;refined;1055;3901;6.961296046;['refined_JJ'];Abstract;Abstract;-1.886600999;10.37308574;3249.139184;0.815152339;0.978509249;2.04;;1.526315789;0.789473684;0.842105263;0.815789474;0.447368421;3.026315789;Visual;3.95;6.67;6.11
REFINED;refinement;63;2314;4.143134726;['refinement_NN'];Abstract;Abstract;-5.198893226;14.4388331;48.17147102;0.608677911;0.692600653;2.04;;2.823529412;1.294117647;1.588235294;1;1.176470588;3.823529412;Visual;3.78;5.54;6.05
REFRESHING;refreshing;1445;5253;7.275864601;['refreshing_JJ', 'refreshing_NN'];Effect;Evaluative;-1.862072092;9.919259244;4489.468577;0.815696409;0.985174102;2.41;;0.75;2.4;1.35;3.65;1.75;1.55;Interoceptive;4;6.3;7.05
REMINISCENT;reminiscence;42;810;3.737669618;['reminiscence_NN'];Familiar;Evaluative;-4.269460675;15.0237956;57.35719193;0.679951034;0.713683351;2.07;;1.117647059;0;0.117647059;2.176470588;0;1.588235294;Interoceptive;;;
REMINISCENT;reminiscent;1131;4523;7.030857476;['reminiscent_JJ', 'reminiscent_NN'];Familiar;Evaluative;-1.999681067;10.27272981;3395.152661;0.811071817;0.979461371;1.68;;3;0.428571429;0.357142857;2.071428571;0.5;2.428571429;Auditory;3.62;6.04;6.11
RESINOUS;resin;769;2242;6.64509097;['resin_NN'];Source;Source;-1.543730775;10.82927323;2562.234843;0.832562568;0.972932535;4.08;;0.5;0.5;2.25;0.3125;1.25;2.9375;Visual;3.68;4.8;4.84
RESINOUS;resinous;1649;104;7.407924323;['resinous_JJ', 'resinous_NN'];Source;Source;3.986935965;9.728737338;11815.92278;0.968715996;0.993607182;;;;;;;;;;;;
RESINOUS;resinousness;14;1;2.63905733;['resinousness_NN'];Source;Source;3.807354922;16.6087581;84.38822109;0.964227421;0.762649619;;;;;;;;;;;;
RESINOUS;resiny;50;16;3.912023005;['resiny_NN', 'resiny_JJ'];Source;Source;1.64385619;14.77225683;265.5709781;0.919205658;0.877176279;;;;;;;;;;;;
RESTRAINED;restrained;344;1096;5.840641657;['restrained_JJ'];Abstract;Abstract;-1.671767328;11.98984827;1119.141712;0.826713819;0.951033732;3;;0.4375;0.0625;3.0625;1.875;0;2.875;Haptic;;;
RESTRAINED;restraint;36;8346;3.583518938;['restraint_NN'];Abstract;Abstract;-7.856944204;15.24618802;-40.00352321;0.338819369;0.283324266;3.32;;0.5;0.222222222;1.888888889;3;0.333333333;1.722222222;Interoceptive;4.05;4.45;3.47
RHUBARB;rhubarb;297;1022;5.693732139;['rhubarb_NN', 'rhubarb_JJ'];Source;Source;-1.78286036;12.2017939;944.0954289;0.821001088;0.94382481;4.86;;0;4.375;2;0.125;2.25;3.5625;Gustatory;4.3;5.73;6.45
RICH;rich;3424;101966;8.138564737;['rich_JJ', 'rich_NN'];Abstract;Abstract;-4.896261662;8.674646035;3424.165245;0.633705114;0.979597388;2.79;534.3;1.736842105;1.789473684;1.578947368;2.105263158;0.894736842;3.526315789;Visual;6.81;6.83;6.83
RICH;richness;212;3186;5.356586275;['richness_NN', 'richness_JJ'];Abstract;Abstract;-3.909610097;12.68819257;360.2388713;0.705250272;0.899211099;2.04;;0.705882353;2.529411765;0.941176471;0.764705882;1.294117647;2.411764706;Gustatory;;;
ROOTY;rooty;217;83;5.379897354;['rooty_NN', 'rooty_JJ'];Category;Abstract;1.386511801;12.65456179;1172.602907;0.913492927;0.952937976;;;;;;;;;;;;
