Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Arousal;Dominance;Valence
CHALKY;chalky;258;572;5.552959585;['chalky_JJ', 'chalky_NN'];Source;Source;-1.148644081;11.48691101;1095.91591;0.913963716;0.938702584;4.14;;0.444444444;2.388888889;2.666666667;0.444444444;0.722222222;2.333333333;Haptic;;;
CHEDDAR;cheddar;553;2100;6.315358002;['cheddar_NN', 'cheddar_JJ'];Source;Source;-1.925037942;10.38700259;2077.2353;0.87575591;0.963166575;4.46;;0.2;4.4;1.25;0.95;2.35;2.95;Gustatory;;;
CHEESE;cheese;1365;36866;7.218909708;['cheese_NN', 'cheese_JJ'];Source;Source;-4.755318035;9.083453026;2434.58003;0.682792743;0.96948873;4.7;658.6;0.375;3.9375;2.25;0;3.0625;3.25;Gustatory;3.8;7.11;6.81
CHEESE;cheesey;22;8;3.091042453;['cheesey_NN'];Source;Source;1.459431619;15.03870664;121.7740368;0.970588235;0.772127543;;;;;;;;;;;;
CHEESE;cheesy;196;2213;5.278114659;['cheesy_NN', 'cheesy_JJ'];Source;Source;-3.497077892;11.88342842;525.316027;0.781473337;0.905717427;2.89;;1.684210526;3.421052632;1.473684211;1.421052632;2.105263158;3.263157895;Gustatory;4.09;4.86;4.9
CHEMICAL;chemical;1617;45700;7.38832786;['chemical_NN', 'chemical_JJ'];Category;Abstract;-4.820802581;8.839034298;2809.896267;0.677295217;0.974161627;3.86;497;0.555555556;1.166666667;1.111111111;1;3.055555556;2.611111111;Olfactory;3.41;3.78;4.89
CHERRY;black__#__cherry;251;1;5.525452939;['black__#__cherry_COLL'];Source;Source;7.971543554;11.52659471;969.7147928;0.999725124;0.933205058;;;;;;;;;;;;
CHERRY;cherry;1115;13928;7.016609684;['cherry_NN'];Source;Source;-3.642872493;9.375310267;2840.436248;0.770478285;0.97471138;4.62;661.8;0.142857143;4.285714286;2.678571429;0.5;2.321428571;3.5;Gustatory;4.91;5.63;7.05
CHEWY;chewiness;24;20;3.17805383;['chewiness_NN'];Composition;Abstract;0.263034406;14.91317576;136.7449846;0.95162177;0.787520616;;;;;;;;;;;;
CHEWY;chews;11;204;2.397895273;['chews_NN'];Composition;Abstract;-4.212993723;16.03870664;19.41188587;0.726772952;0.537658054;;;;;;;;;;;;
