Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Arousal;Dominance;Valence
DISTINCT;distinct;860;19704;6.756932389;['distinct_JJ', 'distinct_NN'];Familiar;Evaluative;-4.518008063;9.749945412;1676.983398;0.702308961;0.955470038;2.11;;2.823529412;1.235294118;1.294117647;1.117647059;1.294117647;4.117647059;Visual;3.67;5.8;5.55
DISTINCT;distinctive;485;9053;6.184148891;['distinctive_JJ'];Familiar;Evaluative;-4.222339302;10.57629732;1047.243994;0.725948323;0.93677845;1.61;;2.176470588;0.941176471;1.411764706;1.176470588;1.058823529;2.882352941;Visual;3.78;6.18;6.32
DRINK;drink;1955;48030;7.578145472;['drink_NN'];Category;Abstract;-4.618695296;8.565185369;3663.174343;0.692963167;0.980758659;4.76;166;1.181818182;4.727272727;2.5;2.545454545;2.136363636;3.545454545;Gustatory;5.19;5.87;6.67
DRY;dry;708;47352;6.562444094;['dry_JJ', 'dry_NN'];Composition;Abstract;-6.063532191;10.03053271;620.6682868;0.559923035;0.915338098;3.77;;0.7;1.8;3.9;1.4;0.45;3.25;Haptic;3.8;6.21;4.86
DRY;dryer;11;4004;2.397895273;['dryer_NN', 'dryer_JJ'];Composition;Abstract;-8.50779464;16.03870664;-7.380476454;0.328202309;0.402418911;4.79;;2.705882353;0;2.294117647;0.235294118;0.411764706;4.058823529;Visual;2.43;4.57;5.21
EARTHY;earth;140;135447;4.941642423;['earth_NN'];Source;Source;-9.918085897;12.36885524;-255.2581134;0.193787795;0.04095657;4.8;666.7;1.333333333;0.666666667;2.833333333;0.777777778;2.277777778;4.333333333;Visual;5.04;5.69;6.83
EARTHY;earthier;12;41;2.48490665;['earthier_JJ', 'earthier_NN'];Source;Source;-1.772589504;15.91317576;53.87809716;0.884002199;0.656954371;;;;;;;;;;;;
EARTHY;earthiness;12;138;2.48490665;['earthiness_NN'];Source;Source;-3.523561956;15.91317576;36.8865545;0.778724574;0.609125893;2.17;;0.65;1.55;2.6;1.25;2.55;2.9;Visual;;;
EARTHY;earthy;532;1664;6.276643489;['earthy_JJ', 'earthy_NN'];Source;Source;-1.645157283;10.44285583;2102.232401;0.891148983;0.96426608;2.15;;0.866666667;1.933333333;3.2;1.066666667;2.933333333;3.733333333;Visual;3.29;6.56;6.5
EXCELLENT;excelent;12;55;2.48490665;['excelent_JJ', 'excelent_NN'];Positive;Evaluative;-2.196397213;15.91317576;49.7654415;0.859263332;0.644859813;;;;;;;;;;;;
EXCELLENT;excellant;23;29;3.135494216;['excellant_JJ', 'excellant_NN'];Positive;Evaluative;-0.334419039;14.97457631;101.7512856;0.937603079;0.752336449;;;;;;;;;;;;
EXCELLENT;excellence;11;8486;2.397895273;['excellence_NN'];Positive;Evaluative;-9.591437345;16.03870664;-14.14059142;0.220175921;0.366135239;2.2;403.55;1.277777778;0.166666667;0.111111111;2.611111111;0.166666667;2.777777778;Visual;5.3;7.4;7.87
EXCELLENT;excellent;2664;41617;7.887584032;['excellent_JJ', 'excellent_NN'];Positive;Evaluative;-3.965506983;8.118759895;6207.570235;0.747113799;0.991753711;2.11;271.9;2;1.611111111;1.777777778;1.944444444;1.611111111;3.333333333;Visual;5.15;7.22;7.56
FABULOUS;fabulous;320;9968;5.768320996;['fabulous_JJ'];Positive;Evaluative;-4.961160258;11.17621017;527.528312;0.665475536;0.906542056;2.12;377.1;2.058823529;0.823529412;1.117647059;1.529411765;0.764705882;3.235294118;Visual;5.15;7.25;7.84
FAKE;fake;848;23090;6.742880636;['fake_JJ', 'fake_NN'];Abstract;Abstract;-4.767060098;9.770217807;1506.902662;0.681693238;0.951072018;1.97;340.6;1.352941176;0.823529412;1.823529412;0.705882353;0.588235294;3.117647059;Visual;5.15;4.47;2.62
FAKE;fakey;13;35;2.564949357;['fakey_JJ', 'fakey_NN'];Abstract;Abstract;-1.428843299;15.79769854;61.30053336;0.901319406;0.676470588;;;;;;;;;;;;
FANTASTIC;fantastic;1138;22573;7.037027615;['fantastic_JJ', 'fantastic_NN'];Positive;Evaluative;-4.310025706;9.345853419;2373.806914;0.719351292;0.968114349;1.78;325.7;1.722222222;1;0.388888889;1.888888889;0.388888889;2.166666667;Visual;6.4;7.21;8.36
FAVORITE;favorite;3765;94568;8.23350314;['favorite_JJ', 'favorite_NN'];Positive;Evaluative;-4.650630316;7.619704112;6982.246143;0.690764156;0.992853216;2.71;;1.833333333;1.666666667;1.5;2.277777778;1.388888889;2.388888889;Visual;4.4;7;7.39
FAVORITE;favourite;72;4872;4.276666119;['favourite_NN', 'favourite_JJ'];Positive;Evaluative;-6.080373416;13.32821326;63.82553561;0.559098406;0.684167125;;;;;;;;;;;;
FISHY;fish;456;78406;6.12249281;['fish_NN', 'fish_JJ'];Source;Source;-7.425786426;10.66524825;-32.08839426;0.421935129;0.283397471;5;473.7;1.058823529;4.176470588;2.352941176;0.058823529;3.411764706;4.470588235;Visual;3.33;6.08;6.42
FISHY;fishiness;11;11;2.397895273;['fishiness_NN'];Effect;Evaluative;0;16.03870664;45.69390835;0.944474986;0.634414513;2.55;;0.4375;2.6875;1.1875;0.5;3.625;2;Olfactory;;;
FISHY;fishy;351;1447;5.860786223;['fishy_JJ', 'fishy_NN'];Source;Source;-2.043521986;11.04281104;1277.563159;0.867509621;0.945849368;2.96;;0.117647059;2.235294118;0.941176471;0.823529412;3.823529412;2.352941176;Olfactory;3.11;3.59;4.2
FLAVORFUL;flavorable;11;2;2.397895273;['flavorable_JJ'];Effect;Evaluative;2.459431619;16.03870664;61.03664118;0.979109401;0.675096207;;;;;;;;;;;;
FLAVORFUL;flavorful;396;1339;5.981414211;['flavorful_JJ', 'flavorful_NN'];Effect;Evaluative;-1.757583625;10.86878164;1535.817044;0.884551952;0.952446399;2.5;;0.055555556;4.444444444;0.166666667;1.444444444;1.833333333;0.444444444;Gustatory;;;
FLAVORFUL;flavourful;17;28;2.833213344;['flavourful_JJ'];Effect;Evaluative;-0.719892081;15.41067542;86.98408548;0.925508521;0.72842221;;;;;;;;;;;;
FLORAL;floral;256;3887;5.545177444;['floral_JJ', 'floral_NN'];Category;Abstract;-3.924441392;11.49813826;608.076444;0.750412314;0.913413964;3.75;;0.388888889;0.5;2.055555556;0.666666667;3.111111111;3.388888889;Visual;2.73;5.15;7.42
FLOWERY;flower;98;47374;4.584967479;['flower_NN'];Category;Abstract;-8.917098026;12.88342842;-105.961001;0.289719626;0.103628367;5;400.2666667;0.277777778;1.166666667;3.333333333;1;4.388888889;4.277777778;Olfactory;3.67;6.43;7.3
FLOWERY;flowery;81;807;4.394449155;['flowery_NN'];Category;Abstract;-3.31657486;13.15828826;230.5927924;0.791918637;0.841396372;2.68;;0.235294118;0.411764706;1.411764706;0.058823529;3.588235294;4.058823529;Visual;3.81;5.57;7.47
VANILLA;french__#__vanilla;310;67;5.736572297;['french__#__vanilla_COLL'];Source;Source;2.210035215;11.22201386;1054.360079;0.977460143;0.937877955;;;;;;;;;;;;
FRESH;fresh;3712;73740;8.219326094;['fresh_JJ', 'fresh_NN'];Abstract;Abstract;-4.312178801;7.640157267;7755.301265;0.718801539;0.993128092;1.97;408.8;0.705882353;4.176470588;2.588235294;1.647058824;4;3.470588235;Gustatory;2.35;6.28;6.67
FRESH;fresher;206;867;5.327876169;['fresher_JJ', 'fresher_NN'];Abstract;Abstract;-2.073387656;11.81163773;742.5473765;0.86531061;0.922210005;;;;;;;;;;;;
FRESH;freshness;264;1309;5.575949103;['freshness_NN', 'freshness_JJ'];Abstract;Abstract;-2.309855263;11.45374414;924.6243166;0.853216053;0.931006047;2.12;;1.157894737;2.578947368;1.947368421;1.052631579;3.368421053;2.947368421;Olfactory;4.1;6.29;7.43
FRUIT;fruit__#__punch;277;134;5.624017506;['fruit__#__punch_COLL'];Source;Source;1.047652976;11.3843961;849.5538189;0.963166575;0.928532161;;;;;;;;;;;;
FRUIT;fruit;2329;44757;7.75319427;['fruit_NN'];Category;Abstract;-4.264330793;8.312643337;4944.731797;0.722374931;0.988180319;4.81;;0.473684211;4.631578947;3.105263158;0.736842105;3.105263158;4.421052632;Gustatory;4.09;6.12;7
FRUIT;fruitier;19;2;2.944438979;['fruitier_NN'];Category;Abstract;3.247927513;15.25021075;124.5826764;0.987630566;0.775151182;;;;;;;;;;;;
FRUIT;fruitiness;12;46;2.48490665;['fruitiness_NN'];Category;Abstract;-1.938599455;15.91317576;52.26712654;0.874931281;0.653380979;3.09;;0.388888889;4.277777778;1.388888889;0.833333333;3.166666667;2.555555556;Gustatory;;;
FRUIT;fruity;1061;1135;6.966967139;['fruity_NN', 'fruity_JJ'];Category;Abstract;-0.097267641;9.446929321;5325.289986;0.943650357;0.989004948;2.69;;0.0625;4.25;0.4375;0.3125;2.875;1.75;Gustatory;5.26;6;6.71
FULL;full;3931;235774;8.276649125;['full_JJ', 'full_NN'];Strong;Evaluative;-5.90636446;7.557457613;3862.682628;0.577789995;0.983507422;3.59;532.4;0.421052632;1.157894737;1.631578947;4.210526316;0.210526316;1.842105263;Interoceptive;3.48;6.06;6
FULL;fuller;37;4162;3.610917913;['fuller_JJ', 'fuller_NN'];Strong;Evaluative;-6.813607884;14.2886849;13.81644553;0.48735569;0.510170423;3.17;;0.3125;0.125;0.75;1.9375;0;2.1875;Visual;;;
FULL;fullness;28;1838;3.33220451;['fullness_NN', 'fullness_JJ'];Strong;Evaluative;-6.036566129;14.69078334;26.78616407;0.562671798;0.570368334;2.58;;0.421052632;1.421052632;1.473684211;4.052631579;0.578947368;1.736842105;Interoceptive;3.2;6.27;6.19
FUNKY;funky;316;3588;5.755742214;['funky_JJ', 'funky_NN'];Abstract;Abstract;-3.505183427;11.19435751;841.9027482;0.780648708;0.927982408;2.04;411.4;1.473684211;1.368421053;0.736842105;1.789473684;2;1.894736842;Olfactory;4.9;5.4;5.85
GARLIC;garlic;680;18030;6.522092798;['garlic_JJ', 'garlic_NN'];Source;Source;-4.72872084;10.08874733;1227.191762;0.684442001;0.943375481;4.89;657.1;0.176470588;4.823529412;2.470588235;0.941176471;4.058823529;3.529411765;Gustatory;4.12;6.62;5.67
GARLIC;garlicky;31;259;3.433987204;['garlicky_JJ', 'garlicky_NN'];Source;Source;-3.062611977;14.54394195;85.67354206;0.810610225;0.725398571;3.19;;0.785714286;4.857142857;0.928571429;0.642857143;4.428571429;1.714285714;Gustatory;;;
GINGER;ginger;1774;10488;7.480992163;['ginger_NN', 'ginger_JJ'];Source;Source;-2.563661676;8.705347967;5847.787948;0.842221001;0.990929082;4.92;359;1.25;3;1.9375;0.25;2.6875;3.625;Visual;4.43;5.47;5.79
GINGER;gingery;68;75;4.219507705;['gingery_JJ', 'gingery_NN'];Source;Source;-0.141355849;13.41067542;348.5384364;0.941726223;0.877405168;2.54;;0.0625;2.6875;0.6875;0.6875;1.5;1.875;Gustatory;;;
GOOD;good;36118;1466239;10.49454664;['good_JJ', 'good_NN'];Positive;Evaluative;-5.343258468;4.357707875;49603.02854;0.631390874;0.999175371;1.64;276.9;2.529411765;1.882352941;1.941176471;2.764705882;2.058823529;3;Visual;3.66;6.41;7.89
GOOD;goodness;116;12265;4.753590191;['goodness_NN', 'goodness_JJ'];Positive;Evaluative;-6.724278618;12.64015727;49.1099672;0.495601979;0.643485432;1.38;277.4;2.625;1.125;0.9375;3;1.3125;3.375;Visual;5.2;7.37;7.38
GOURMET;gourmet;264;3847;5.575949103;['gourmet_NN'];Positive;Evaluative;-3.865123995;11.45374414;637.8683002;0.754810335;0.916162727;3.07;;0.657894737;3.789473684;1.236842105;1.052631579;3.289473684;3.052631579;Gustatory;6;5.54;7.25
GRAINY;grain;370;21262;5.913503006;['grain_NN', 'grain_JJ'];Composition;Abstract;-5.844608229;10.9667568;377.5412144;0.585211655;0.883452446;4.8;630.0666667;0.421052632;2.684210526;2.368421053;0.368421053;0.894736842;3.631578947;Visual;1.6;5.12;5.83
GRAINY;grains;12;158;2.48490665;['grains_NN'];Composition;Abstract;-3.718818247;15.91317576;34.99177563;0.76635514;0.60115448;;;;;;;;;;;;
GRAINY;grainy;198;1392;5.288267031;['grainy_JJ', 'grainy_NN'];Composition;Abstract;-2.813586876;11.86878164;612.8667392;0.826278175;0.914238593;3.16;;0.235294118;0.764705882;3.176470588;0.176470588;0.058823529;3.705882353;Visual;;;
GRANOLA;granola;523;1070;6.259581464;['granola_NN'];Source;Source;-1.032727945;10.46747113;2272.22087;0.916712479;0.967014843;4.85;;0.611111111;4.555555556;2.833333333;0.333333333;2.333333333;3.944444444;Gustatory;3.14;5.7;6.05
GRANOLA;granolas;14;2;2.63905733;['granolas_NN'];Source;Source;2.807354922;15.69078334;84.27613293;0.983507422;0.723474437;;;;;;;;;;;;
GRAPE;grape;514;9803;6.242223265;['grape_NN'];Source;Source;-4.253383058;10.49251371;1089.986792;0.723474437;0.938427708;5;671.4;;;;;;;;3.5;5.88;6.7
GRAPE;grapey;13;15;2.564949357;['grapey_NN'];Source;Source;-0.206450877;15.79769854;74.01000127;0.939802089;0.703958219;;;;;;;;;;;;
GRAPEFRUIT;grapefruit;240;1873;5.480638923;['grapefruit_NN', 'grapefruit_JJ'];Source;Source;-2.964244589;11.59124767;731.4312421;0.818581638;0.9211105;4.96;;0.25;3.95;2.3;0.9;2.75;3.75;Gustatory;3.68;5.96;5.77
GRASSY;grass;141;34320;4.94875989;['grass_NN'];Source;Source;-7.92721058;12.35858691;-59.72005109;0.377130291;0.182792743;4.93;677.4;0.739728597;0.57544869;3.420298918;0.438246514;3.032830967;4.411669064;Visual;3.39;5.67;6.47
GRASSY;grassy;300;2343;5.703782475;['grassy_JJ', 'grassy_NN'];Source;Source;-2.965322548;11.26931957;912.5521813;0.818306762;0.930456295;4.32;;0.625;0.625;3.0625;0.6875;2.625;4.125;Visual;3.09;5.68;6
GREASY;grease;36;4615;3.583518938;['grease_NN'];Composition;Abstract;-7.002189931;14.32821326;8.495003354;0.464540957;0.481033535;4.61;605.9;0.388888889;1.722222222;2.833333333;0.166666667;2;3.888888889;Visual;3.62;4.96;3.9
GREASY;greasy;238;3356;5.472270674;['greasy_NN', 'greasy_JJ'];Composition;Abstract;-3.817709237;11.6033205;573.6845021;0.759483233;0.911214953;3.82;;0.533333333;2.733333333;3.6;0.666666667;1.333333333;3.133333333;Haptic;4.55;3.88;2.94
GREAT;great;29493;672793;10.29190823;['great_JJ', 'great_NN'];Positive;Evaluative;-4.511718211;4.650053303;57509.82796;0.70313359;0.999450247;1.81;291.25;1.555555556;1.055555556;0.5;2.277777778;0.777777778;2.5;Visual;4.14;6.65;7.5
TEA;green__#__tea;1615;1238;7.387090236;['green__#__tea_COLL'];Source;Source;0.38352285;8.840819812;4771.532533;0.95464541;0.987630566;;;;;;;;;;;;
GUMMY;gum;800;8527;6.684611728;['gum_NN'];Composition;Abstract;-3.413966352;9.854282072;2173.997261;0.785321605;0.965640462;4.89;;1.117647059;3.235294118;2.058823529;0.823529412;1.588235294;2.764705882;Gustatory;3.2;4.92;5.89
GUMMY;gummy;149;756;5.003946306;['gummy_JJ', 'gummy_NN'];Composition;Abstract;-2.343073904;12.27896974;521.4038846;0.85046729;0.904892798;3.7;;0.2;2.55;3.05;0.95;0.55;3.6;Visual;4;5.04;5.29
HABANERO;habanero;123;290;4.812184355;['habanero_NN'];Source;Source;-1.237394585;12.55562376;510.5479276;0.909565695;0.902144035;;;;;;;;;;;;
HAZELNUT;hazel;16;3046;2.772588722;['hazel_NN', 'hazel_JJ'];Source;Source;-7.572700226;15.49813826;-3.094107892;0.408191314;0.421935129;3.7;;0.266666667;0.6;0.133333333;0.266666667;0.4;3.6;Visual;;;
HAZELNUT;hazelnut;1012;1114;6.91968385;['hazelnut_NN', 'hazelnut_JJ'];Source;Source;-0.138539943;9.515144687;5050.807371;0.9420011;0.988455195;4.6;;0.133333333;4.4;1.533333333;0.066666667;2.933333333;2.8;Gustatory;;;
HAZELNUT;hazlenut;40;4;3.688879454;['hazlenut_NN', 'hazlenut_JJ'];Source;Source;3.321928095;14.17621017;309.9468129;0.988455195;0.86833425;;;;;;;;;;;;
HEALTHY;healthful;40;1603;3.688879454;['healthful_JJ'];Effect;Evaluative;-5.324630615;14.17621017;58.22662565;0.633315008;0.669048928;2.89;;1.685714286;2.2;1.628571429;3.742857143;1.657142857;2.942857143;Interoceptive;;;
HEALTHY;healthiness;13;69;2.564949357;['healthiness_NN'];Effect;Evaluative;-2.408084739;15.79769854;51.11915672;0.848543156;0.64953271;2.07;;0.722222222;0.611111111;0.833333333;3.611111111;0.555555556;2.888888889;Interoceptive;;;
HEALTHY;healthy;1490;66169;7.306531399;['healthy_JJ', 'healthy_NN'];Effect;Evaluative;-5.472771241;8.957041646;1910.09348;0.620670698;0.960142936;3.31;433;1.176470588;1;0.705882353;3.823529412;0.705882353;3;Interoceptive;4.19;7;7.76
HOMEMADE;homemade;464;6649;6.139884552;['homemade_NN', 'homemade_JJ'];Composition;Abstract;-3.840940667;10.64015727;1125.2799;0.756734469;0.939802089;2.9;;0.775;2.5;1.25;0.525;1.8;3.775;Visual;4.08;6.75;7.38
HONEYED;honey;1714;53854;7.446585099;['honey_NN'];Source;Source;-4.97361449;8.754986868;2789.967763;0.664101154;0.973062122;4.88;597;0.326078799;4.507004378;2.422013759;0.68699187;2.789681051;3.63902439;Gustatory;4.38;6.39;7.27
HORRIBLE;horrible;1202;26279;7.091742115;['horrible_JJ', 'horrible_NN'];Negative;Evaluative;-4.450401576;9.266917081;2390.781148;0.708081363;0.968664101;2.2;271.9;2.1;1.25;1.1;2.7;1.3;2.85;Visual;5.95;5.16;2.33
HOT;hot;1737;127405;7.459914766;['hot_JJ', 'hot_NN'];Effect;Evaluative;-6.196680333;8.735756223;1359.705713;0.549752611;0.947498626;4.31;172;0.647058824;1.764705882;4.117647059;2.411764706;0.823529412;1.705882353;Haptic;4.76;5;5.73
HOT;hotness;24;233;3.17805383;['hotness_NN'];Effect;Evaluative;-3.279223644;14.91317576;72.90702393;0.794942276;0.700384827;3.1;;1;1.473684211;4.105263158;2.526315789;0.947368421;2.315789474;Haptic;;;
COCOA;hot__#__chocolate;368;1395;5.908082938;['hot__#__chocolate_COLL'];Source;Source;-1.922487451;10.97457631;1002.251765;0.876030786;0.93375481;;;;;;;;;;;;
TEA;ice__#__tea;163;456;5.093750201;['ice__#__tea_COLL'];Source;Source;-1.48416186;12.14941011;355.0309691;0.899395272;0.879329302;;;;;;;;;;;;
TEA;iced__#__tea;186;1278;5.225746674;['iced__#__tea_COLL'];Source;Source;-2.78051331;11.95897945;519.5638151;0.828202309;0.904343046;;;;;;;;;;;;
INSTANT;instance;13;70715;2.564949357;['instance_NN'];Abstract;Abstract;-12.40928893;15.79769854;-52.86544062;0.036833425;0.202583837;1.97;343.65;1.837837838;0.513513514;0.540540541;0.810810811;0.540540541;2.540540541;Visual;;;
INSTANT;instant;745;22086;6.613384218;['instant_JJ', 'instant_NN'];Abstract;Abstract;-4.88974792;9.957041646;1260.7761;0.671797691;0.944749863;2.7;363.5;1.277777778;0.111111111;0.444444444;1.388888889;0;2.611111111;Visual;4.33;6.22;5.84
INTENSE;intense;990;27720;6.897704943;['intense_JJ', 'intense_NN'];Strong;Evaluative;-4.807354922;9.546853547;1723.957661;0.678119846;0.957119296;2.41;317.1;3.277777778;2.666666667;2.166666667;3.722222222;2.833333333;3.388888889;Interoceptive;6.6;5.57;5.65
INTENSE;intensity;144;18668;4.9698133;['intensity_NN'];Strong;Evaluative;-7.018354751;12.32821326;31.00282564;0.46206707;0.584387026;2.14;;2.2;0.65;0.9;2.15;0.55;2.5;Visual;7.05;5.34;5.19
JALAPENO;jalapeno;383;1123;5.948034989;['jalapeno_NN', 'jalapeno_JJ'];Source;Source;-1.55194163;10.91693768;1524.524623;0.894722375;0.951896647;4.85;;0.35;4.85;2.55;2.1;2.8;3.45;Gustatory;;;
JALAPENO;jalepeno;27;15;3.295836866;['jalepeno_NN'];Source;Source;0.847996907;14.74325076;141.6221898;0.959868059;0.791918637;;;;;;;;;;;;
JASMINE;jasmine;274;4150;5.613128106;['jasmine_NN'];Source;Source;-3.920863538;11.40010618;641.7473946;0.750687191;0.916712479;4.55;;0.111111111;1.722222222;1.5;0.333333333;3.388888889;3.222222222;Olfactory;3.7;5.75;6.74
JELLY;jelly;302;5210;5.710427017;['jelly_NN', 'jelly_JJ'];Source;Source;-4.108662918;11.25973352;668.7578433;0.735568994;0.917262232;4.93;662.9;0.333333333;4;3;0.555555556;2.388888889;3.666666667;Gustatory;3.63;5.68;5.9
JELLY;jello;37;353;3.610917913;['jello_NN'];Source;Source;-3.254071008;14.2886849;110.0404806;0.796041781;0.761957119;;;;;;;;;;;;
JERKY;jerky;407;1711;6.008813185;['jerky_NN', 'jerky_JJ'];Source;Source;-2.07173906;10.82925328;1474.63774;0.865585487;0.94942276;3.74;;1;2.647058824;2.529411765;1.352941176;1.352941176;3.294117647;Visual;4;4.21;4.74
JERKY;beef__#__jerky;138;385;4.927253685;['beef__#__jerky_COLL'];Source;Source;-1.480190179;12.3896138;440.7316417;0.899670148;0.892798241;;;;;;;;;;;;
JUICY;juice;738;28309;6.603943825;['juice_NN'];Category;Abstract;-5.261496161;9.970661256;1052.560738;0.637438153;0.937603079;4.89;;0.25;4.75;0.85;0.6;2.05;3.7;Gustatory;4.6;5.74;6.9
JUICY;juiciness;12;69;2.48490665;['juiciness_NN'];Category;Abstract;-2.523561956;15.91317576;46.59061503;0.843870258;0.637163277;3.44;;1;4.142857143;2.357142857;0.714285714;0.928571429;2.642857143;Gustatory;;;
JUICY;juicy;148;4175;4.997212274;['juicy_JJ', 'juicy_NN'];Category;Abstract;-4.818107117;12.2886849;260.6165347;0.67784497;0.853216053;3.96;;1.473684211;4.210526316;2.894736842;1.578947368;1.947368421;3.421052632;Gustatory;4.7;5.48;7.05
KIWI;kiwi;181;1041;5.198497031;['kiwi_NN'];Source;Source;-2.523908466;11.99829237;608.961943;0.843595382;0.91368884;4.86;599.28;0.5625;4.1875;2.8125;0.9375;2.875;4;Gustatory;3.65;5.5;6.11
LATTE;latte;252;2091;5.529429088;['latte_NN', 'latte_JJ'];Source;Source;-3.052697423;11.52085834;752.1276084;0.810885102;0.923309511;4.64;;0.5;4.388888889;1.333333333;0.611111111;3.5;3.277777778;Gustatory;4.79;6.4;6.45
LEMON;lemon;1813;22124;7.502738211;['lemon_NN', 'lemon_JJ'];Source;Source;-3.609161417;8.673975052;4674.388875;0.773501924;0.986805937;5;665.5;0.2;4.45;2.65;0.75;2.95;3.85;Gustatory;4.52;5.43;6.37
LEMON;lemony;158;721;5.062595033;['lemony_NN', 'lemony_JJ'];Source;Source;-2.190074701;12.19435751;555.2128646;0.859813084;0.909015943;2.93;;0.15;4.3;0.55;0.85;3.2;1.7;Gustatory;;;
LEMONADE;lemonade;314;3060;5.749392986;['lemonade_NN', 'lemonade_JJ'];Source;Source;-3.284695189;11.20351751;873.7010004;0.793842771;0.929356789;4.83;624.1;0.352941176;4.411764706;1.705882353;1.647058824;2.529411765;2.647058824;Gustatory;4.63;6;7.05
LEMONGRASS;lemongrass;143;392;4.96284463;['lemongrass_NN'];Source;Source;-1.454838507;12.33826692;573.6844043;0.900494777;0.910940077;4.76;;0.058823529;1.411764706;0.470588235;0;1.588235294;1.823529412;Visual;;;
LICORICE;licorice;1114;885;7.01571242;['licorice_NN', 'licorice_JJ'];Source;Source;0.331999872;9.376604744;5901.634983;0.953545904;0.991203958;4.97;;0.235294118;4.411764706;1.823529412;0.588235294;2.470588235;2.882352941;Gustatory;4.14;5.52;4.58
LICORICE;liquorice;30;63;3.401197382;['liquorice_NN'];Source;Source;-1.070389328;14.59124767;121.3845803;0.915612974;0.771302914;;;;;;;;;;;;
LIGHT;light;2926;261559;7.981391582;['light_JJ', 'light_NN'];Abstract;Abstract;-6.482062833;7.983424208;1707.842176;0.520615723;0.956294667;4.21;469.975;0.2;0.05;0.6;0.4;0.05;4.6;Visual;3.52;5.89;6.55
LIGHT;lightness;17;1035;2.833213344;['lightness_NN'];Abstract;Abstract;-5.927952211;15.41067542;18.39499377;0.574491479;0.531885651;2.6;;1.470588235;1.117647059;3.176470588;1.941176471;0.647058824;2.705882353;Haptic;4.5;5.88;6.37
LIME;lime;993;8368;6.900730664;['lime_NN'];Source;Source;-3.075017229;9.542488354;2930.933099;0.810060473;0.976085761;4.96;653.9;0.157894737;3.842105263;1.789473684;0.105263158;2.631578947;3.894736842;Visual;3.83;6.23;6.1
LIME;limey;12;176;2.48490665;['limey_JJ', 'limey_NN'];Source;Source;-3.874469118;15.91317576;33.48133016;0.753435954;0.595931831;;;;;;;;;;3.55;5.37;4.86
MALTY;malt;173;1486;5.153291594;['malt_NN'];Source;Source;-3.102590173;12.06351003;512.1461271;0.807861462;0.903518417;4.57;;0.235294118;4.205882353;0.941176471;0.352941176;2;2.441176471;Gustatory;3.75;5.91;6.14
MALTY;malty;115;72;4.744932128;['malty_NN'];Composition;Abstract;0.67556505;12.65264821;626.626464;0.957669049;0.915612974;2.83;;0.653846154;2.846153846;0.769230769;0.807692308;1.038461538;1.538461538;Gustatory;;;
MANGO;mango;1103;3888;7.005789019;['mango_NN', 'mango_JJ'];Source;Source;-1.817595428;9.390921186;4202.781;0.882352941;0.984881803;5;;0;4.666666667;2.333333333;0.80952381;2.952380952;3.952380952;Gustatory;3.05;5.76;6.57
MAPLE;maple;643;7737;6.466144724;['maple_NN', 'maple_JJ'];Source;Source;-3.588883631;10.16946333;1659.854345;0.774601429;0.95464541;4.46;;0.6;2.45;1.15;0.15;2.35;3;Visual;3.77;5.47;6.09
MARGARITA;margarita;193;2239;5.262690189;['margarita_NN'];Source;Source;-3.536181776;11.90568122;512.0712676;0.777075316;0.90324354;5;;0.0625;3.75;1;1.3125;1.5625;2.375;Gustatory;5.2;6.19;6.33
MELLOW;mellow;470;1926;6.152732695;['mellow_JJ', 'mellow_NN'];Abstract;Abstract;-2.034875041;10.62162132;1715.984258;0.86833425;0.956569544;1.96;;1.5625;0.75;1.125;2.8125;0.5;1.3125;Interoceptive;2.81;7;6.68
MELLOW;melow;13;4;2.564949357;['melow_NN'];Abstract;Abstract;1.700439718;15.79769854;93.83633887;0.975261132;0.742166025;;;;;;;;;;;;
METALLIC;metal;83;46827;4.418840608;['metal_NN'];Category;Abstract;-9.140013562;13.12309883;-101.9201699;0.269103903;0.109675646;4.87;590.3;1.473684211;0.473684211;3.631578947;0.315789474;0.842105263;4.421052632;Visual;3.48;6.54;5.05
METALLIC;metalic;29;12;3.36729583;['metalic_JJ', 'metalic_NN'];Category;Abstract;1.273018494;14.64015727;184.7441934;0.967839472;0.818581638;;;;;;;;;;;;
METALLIC;metallic;457;3969;6.124683391;['metallic_JJ', 'metallic_NN'];Category;Abstract;-3.118509492;10.66208791;1338.221324;0.806761957;0.94639912;4.03;;0.631578947;0.947368421;1.947368421;0.157894737;0.631578947;3.684210526;Visual;4.32;5.17;5.26
MILD;mild;3027;13864;8.015327309;['mild_JJ', 'mild_NN'];Weak;Evaluative;-2.195382979;7.934465302;10755.01665;0.859538208;0.995052226;2.48;321.2;1.4;2.8;0.95;1.75;1.55;1.1;Gustatory;2.39;5.67;5.9
MILKY;milk;1402;37910;7.245655068;['milk_NN', 'milk_JJ'];Source;Source;-4.757020202;9.044867628;2491.700102;0.682517867;0.969763606;4.92;654.3;0.833333333;4.666666667;1.833333333;1.055555556;1.944444444;4.111111111;Gustatory;2.33;6.31;6.74
